name,taluk,pincode,distance,travelTime
Agaram,Arcot,632506,28 km,40 minutes
Akkachikuppam,Arakkonam,632510,38 km,50 minutes
Alapakkam,Walajapet,632508,22 km,32 minutes
Ammanur,Arakkonam,631002,36 km,48 minutes
Ammoor,Wallajah,632501,24 km,35 minutes
Ammundi,Walajapet,632519,26 km,38 minutes
Anaimallur,Arcot,632507,27 km,39 minutes
Anaipakkam,Arakkonam,631003,37 km,49 minutes
Anandhalai,Walajapet,632513,23 km,34 minutes
Ananthangal,Arcot,632511,29 km,42 minutes
Anvardhikhanpet,Arakkonam,632502,35 km,47 minutes
Arakkonam,Arakkonam,631001,35 km,45 minutes
Arapakkam,Walajapet,632517,24 km,36 minutes
Arcot Bazaar,Arcot,632503,25 km,35 minutes
Arcot,Arcot,632503,25 km,35 minutes
Arcot West,Arcot,632503,25 km,35 minutes
Arigilapadi,Arakkonam,631151,40 km,52 minutes
Arumbakkam,Arcot,632506,28 km,40 minutes
Arungundram,Walajapet,632509,22 km,33 minutes
Asamandhur,Arakkonam,632502,36 km,48 minutes
Ashoknagar Vellore,Arakonam,631001,35 km,45 minutes
Attupakkam,Arakkonam,631051,38 km,50 minutes
Ayal,Arakkonam,632505,36 km,48 minutes
Ayarpadi,Arakkonam,632531,42 km,55 minutes
Ayilam,Walajapet,632509,22 km,33 minutes
Ayipedu,Arakkonam,631102,40 km,52 minutes
Banavaram,Arakkonam,632505,36 km,48 minutes
Bhel Ranipet,Walajapet,632406,22 km,32 minutes
Chengalnatham,Wallajah,632520,28 km,40 minutes
Chennasamudram,Arcot,632506,28 km,40 minutes
Chitteri,Arakkonam,631003,37 km,49 minutes
Damarapakkam,Arcot,632504,26 km,38 minutes
Durgam,Arcot,632512,30 km,43 minutes
Ekambaranallur,Walajapet,632405,21 km,31 minutes
Ekhunagar,Arakonam,631004,36 km,48 minutes
Eranthangal,Walajapet,632519,26 km,38 minutes
Esayanur,Arcot,632511,29 km,42 minutes
Federation Buildings,Walajapet,632509,22 km,33 minutes
G.B.Nagar,Arcot,632506,28 km,40 minutes
Ganapathipuram,Arakkonam,631051,38 km,50 minutes
Govindacherrykuppam,Arakkonam,632505,36 km,48 minutes
Gudalur,Arakonam,632510,38 km,50 minutes
Gudimallur,Walajapet,632513,23 km,34 minutes
Gugainallore,Walajapet,632515,25 km,37 minutes
Gundaleri,Arcot,632512,30 km,43 minutes
Guruvarajpet,Arakonam,631101,39 km,51 minutes
Hakeemnagar,Walajapet,632509,22 km,33 minutes
Sholingur,Arakkonam,631102,50 km,1 hour
Ranipet,Walajapet,632401,20 km,30 minutes
Walajapet,Wallajah,632513,18 km,28 minutes
Melvisharam,Walajapet,632509,22 km,32 minutes
Kalavai,Arcot,632506,30 km,42 minutes
Timiri,Arcot,632512,32 km,45 minutes
Tirupattur,Tirupattur,635601,65 km,1.5 hours
Vaniyambadi,Vaniyambadi,635751,55 km,1.25 hours
Ambur,Vaniyambadi,635802,58 km,1.3 hours
Gudiyattam,Gudiyattam,632602,45 km,1 hour
Jolarpet,Tirupathur,635851,80 km,1.8 hours
Yelagiri Hills,Tirupattur,635853,90 km,2 hours
Pallikonda,Katpadi,635809,35 km,48 minutes
Natrampalli,Tirupathur,635852,75 km,1.7 hours
Alangayam,Vaniyambadi,635701,60 km,1.4 hours
Katpadi,Vellore,632007,6 km,15 minutes
Sathuvachari,Vellore,632009,8 km,18 minutes
Bagayam,Vellore,632002,3 km,10 minutes
Gandhi Nagar,Vellore,632006,2 km,8 minutes
Kosapet,Vellore,632001,1 km,5 minutes
Otteri,Vellore,632002,4 km,12 minutes
Thottapalayam,Vellore,632002,5 km,14 minutes
Saidapet,Vellore,632012,7 km,16 minutes
Perumal Nagar,Vellore,632009,6 km,15 minutes
Velpadi,Vellore,632001,4 km,12 minutes
Pernambut,Gudiyattam,635810,40 km,55 minutes
Polur,Tirupattur,635851,75 km,1.7 hours

