name,pincode,state,city
Abiramapuram,600018,Tamil Nadu,Chennai
Adyar,600020,Tamil Nadu,Chennai
Agaram,600082,Tamil Nadu,Chennai
Aminjikarai,600029,Tamil Nadu,Chennai
Anna Nagar,600040,Tamil Nadu,Chennai
Anna Nagar East,600102,Tamil Nadu,Chennai
Anna Nagar Western Extension,600101,Tamil Nadu,Chennai
Anna Road,600002,Tamil Nadu,Chennai
Arumbakkam,600106,Tamil Nadu,Chennai
Ashoknagar,600083,Tamil Nadu,Chennai
Aynavaram,600023,Tamil Nadu,Chennai
Besant Nagar,600090,Tamil Nadu,Chennai
Broadway,600108,Tamil Nadu,Chennai
Cemetery Road,600021,Tamil Nadu,Chennai
Central Institute of Technology,600113,Tamil Nadu,Chennai
Central Leather Research Institute,600020,Tamil Nadu,Chennai
Chamiers Road,600018,Tamil Nadu,Chennai
Chennai Race Course,600032,Tamil Nadu,Chennai
Chepauk,600005,Tamil Nadu,Chennai
Chetput,600031,Tamil Nadu,Chennai
Chintadripet,600002,Tamil Nadu,Chennai
Choolai,600112,Tamil Nadu,Chennai
Choolaimedu,600094,Tamil Nadu,Chennai
D G Vaishnav College,600106,Tamil Nadu,Chennai
Decosters Road,600012,Tamil Nadu,Chennai
Defence Officers Colony,600032,Tamil Nadu,Chennai
Directorate of Tech Education,600025,Tamil Nadu,Chennai
Dr Ambedkar Nagar,600003,Tamil Nadu,Chennai
Edapalayam,600003,Tamil Nadu,Chennai
Egmore,600008,Tamil Nadu,Chennai
Ekkaduthangal,600032,Tamil Nadu,Chennai
Eldams Road,600018,Tamil Nadu,Chennai
Engineering College,600025,Tamil Nadu,Chennai
Erukkancheri,600118,Tamil Nadu,Chennai
Ethiraj Salai,600008,Tamil Nadu,Chennai
Flowers Road,600084,Tamil Nadu,Chennai
Foreshore Estate,600028,Tamil Nadu,Chennai
Fort St George,600009,Tamil Nadu,Chennai
G K M Colony,600082,Tamil Nadu,Chennai
Gaudiyamath Road,600014,Tamil Nadu,Chennai
Golluvar Agraharam Road,600021,Tamil Nadu,Chennai
Gopalapuram,600086,Tamil Nadu,Chennai
Government Estate,600002,Tamil Nadu,Chennai
Govt Stanley Hospital,600001,Tamil Nadu,Chennai
Greams Road,600006,Tamil Nadu,Chennai
Guindy Industrial Estate,600032,Tamil Nadu,Chennai
Guindy North,600015,Tamil Nadu,Chennai
High Court Building,600104,Tamil Nadu,Chennai
Hindi Prachar Sabha,600017,Tamil Nadu,Chennai
ICF Colony,600038,Tamil Nadu,Chennai
Indian Institute of Technology,600036,Tamil Nadu,Chennai
Indira Nagar,600020,Tamil Nadu,Chennai
Jafferkhanpet,600083,Tamil Nadu,Chennai
Jam Bazaar,600014,Tamil Nadu,Chennai
Jawahar Nagar,600082,Tamil Nadu,Chennai
Kalaignar Karunanidhi Nagar,600078,Tamil Nadu,Chennai
Kalmandapam,600013,Tamil Nadu,Chennai
Kasturibai Nagar,600020,Tamil Nadu,Chennai
KDM West,600024,Tamil Nadu,Chennai
Kilpauk,600010,Tamil Nadu,Chennai
Kilpauk Medical College,600010,Tamil Nadu,Chennai
Kodambakkam,600024,Tamil Nadu,Chennai
Kodungaiyur,600118,Tamil Nadu,Chennai
Korrukupet,600021,Tamil Nadu,Chennai
Kosapet,600012,Tamil Nadu,Chennai
Kotturpuram,600085,Tamil Nadu,Chennai
Koyambedu,600107,Tamil Nadu,Chennai
Koyambedu Wholesale Market Complex,600092,Tamil Nadu,Chennai
Krishnampet,600005,Tamil Nadu,Chennai
Kumaran Nagar,600033,Tamil Nadu,Chennai
Lloyds Estate,600014,Tamil Nadu,Chennai
Loyola College,600034,Tamil Nadu,Chennai
MPT AO,600001,Tamil Nadu,Chennai
Madras Electricity System,600002,Tamil Nadu,Chennai
Madras Medical College,600003,Tamil Nadu,Chennai
Madras Presidency College,600005,Tamil Nadu,Chennai
Madras University,600005,Tamil Nadu,Chennai
Mambalam RS,600033,Tamil Nadu,Chennai
Mandaveli,600004,Tamil Nadu,Chennai
Mannady,600001,Tamil Nadu,Chennai
Mettupalayam,600033,Tamil Nadu,Chennai
Mint Building,600079,Tamil Nadu,Chennai
Muthialpet,600001,Tamil Nadu,Chennai
Mylapore,600004,Tamil Nadu,Chennai
Nandanam,600035,Tamil Nadu,Chennai
Nerkundram,600107,Tamil Nadu,Chennai
New Avadi Road,600010,Tamil Nadu,Chennai
Nungambakkam,600034,Tamil Nadu,Chennai
Nungambakkam Bazaar,600034,Tamil Nadu,Chennai
Nungambakkam High Road,600034,Tamil Nadu,Chennai
Old College Buildings,600006,Tamil Nadu,Chennai
P C Hostel,600030,Tamil Nadu,Chennai
Park Town,600003,Tamil Nadu,Chennai
Parthasarathy Koil,600005,Tamil Nadu,Chennai
Perambur,600011,Tamil Nadu,Chennai
Perambur Barracks,600012,Tamil Nadu,Chennai
Perambur High Road,600012,Tamil Nadu,Chennai
Perambur North,600011,Tamil Nadu,Chennai
Pr Accountatn General,600018,Tamil Nadu,Chennai
Pudupakkam,600014,Tamil Nadu,Chennai
Pudupet,600002,Tamil Nadu,Chennai
Puliyanthope,600012,Tamil Nadu,Chennai
Purasawalkam,600084,Tamil Nadu,Chennai
Raja Annamalaipuram,600028,Tamil Nadu,Chennai
Rajathottam,600082,Tamil Nadu,Chennai
Rajbhavan,600022,Tamil Nadu,Chennai
Ramakrishna Nagar,600028,Tamil Nadu,Chennai
Rangarajapuram,600024,Tamil Nadu,Chennai
Rayapuram,600013,Tamil Nadu,Chennai
Ripon Buildings,600003,Tamil Nadu,Chennai
Royapettah,600014,Tamil Nadu,Chennai
Royapettah High Road,600004,Tamil Nadu,Chennai
Royapuram Market,600013,Tamil Nadu,Chennai
RV Nagar,600118,Tamil Nadu,Chennai
Saidapet,600015,Tamil Nadu,Chennai
Saidapet North,600015,Tamil Nadu,Chennai
Saidapet West,600015,Tamil Nadu,Chennai
Saligramam,600093,Tamil Nadu,Chennai
Santhome,600004,Tamil Nadu,Chennai
Sembiam,600011,Tamil Nadu,Chennai
Seven Wells,600001,Tamil Nadu,Chennai
Shastri Bhavan,600006,Tamil Nadu,Chennai
Shastri Nagar,600020,Tamil Nadu,Chennai
Shenoy Nagar,600030,Tamil Nadu,Chennai
Sowcarpet,600079,Tamil Nadu,Chennai
Sri Ayyappa Nagar,600092,Tamil Nadu,Chennai
Strahans Road,600012,Tamil Nadu,Chennai
Teynampet,600018,Tamil Nadu,Chennai
Teynampet South,600018,Tamil Nadu,Chennai
Teynampet West,600006,Tamil Nadu,Chennai
Theosophical Society,600020,Tamil Nadu,Chennai
Thygaraya Nagar,600017,Tamil Nadu,Chennai
Thygaraya Nagar North,600017,Tamil Nadu,Chennai
Thygaraya Nagar South,600017,Tamil Nadu,Chennai
Tidel Park,600113,Tamil Nadu,Chennai
Tiruvallikkeni,600005,Tamil Nadu,Chennai
Tiruvanmiyur,600041,Tamil Nadu,Chennai
Tiruvanmiyur North,600041,Tamil Nadu,Chennai
Tondiarpet,600081,Tamil Nadu,Chennai
Tondiarpet Bazaar,600081,Tamil Nadu,Chennai
Tondiarpet West,600081,Tamil Nadu,Chennai
Triplicane South,600014,Tamil Nadu,Chennai
TTTI Taramani,600113,Tamil Nadu,Chennai
Vadapalani,600026,Tamil Nadu,Chennai
Velacheri,600042,Tamil Nadu,Chennai
Venkatesapuram,600012,Tamil Nadu,Chennai
Vepery,600007,Tamil Nadu,Chennai
Virugambakkam,600092,Tamil Nadu,Chennai
