name,pincode,state,district
Acharapakk Rs,603301,Tamil Nadu,Kanchipuram
Acharapakkam,603301,Tamil Nadu,Kanchipuram
Adambakkam,600088,Tamil Nadu,Kanchipuram
Agaramduli,603406,Tamil Nadu,Kanchipuram
Alagesa Nagar,603001,Tamil Nadu,Kanchipuram
Alandurreopened Wef6605,600016,Tamil Nadu,Kanchipuram
Alisoor,603402,Tamil Nadu,Kanchipuram
Ammanambakkam,603109,Tamil Nadu,Kanchipuram
Anaicut,603312,Tamil Nadu,Kanchipuram
Anakaputhur,600070,Tamil Nadu,Kanchipuram
Anambakkam,603107,Tamil Nadu,Kanchipuram
Ananthamangalam,603307,Tamil Nadu,Kanchipuram
Andarkuppam,603401,Tamil Nadu,Kanchipuram
Anjur,603204,Tamil Nadu,Kanchipuram
Anupuram,603127,Tamil Nadu,Kanchipuram
Anur,603405,Tamil Nadu,Kanchipuram
Appur,603204,Tamil Nadu,Kanchipuram
Arasanimangalam,603402,Tamil Nadu,Kanchipuram
Arpakkam,631603,Tamil Nadu,Kanchipuram
Arumpuliyur,603106,Tamil Nadu,Kanchipuram
Arungunam,603306,Tamil Nadu,Kanchipuram
Asoor,631605,Tamil Nadu,Kanchipuram
Athurchengalpattu,603101,Tamil Nadu,Kanchipuram
Attuputhur,631561,Tamil Nadu,Kanchipuram
Avalur,631605,Tamil Nadu,Kanchipuram
Ayakunnam Kolathur,603310,Tamil Nadu,Kanchipuram
Ayapakkam,603102,Tamil Nadu,Kanchipuram
Ayyampettai,631601,Tamil Nadu,Kanchipuram
Ayyankarkulam,631502,Tamil Nadu,Kanchipuram
Balchettychatram,631551,Tamil Nadu,Kanchipuram
Bharathinagar,600117,Tamil Nadu,Kanchipuram
Bharathipuram,600044,Tamil Nadu,Kanchipuram
Big Kanchipuram,631502,Tamil Nadu,Kanchipuram
Budur,603308,Tamil Nadu,Kanchipuram
Bukkathurai,603308,Tamil Nadu,Kanchipuram
Butt Road,600016,Tamil Nadu,Kanchipuram
Chellampattidai,631553,Tamil Nadu,Kanchipuram
Chengalpattu,603001,Tamil Nadu,Kanchipuram
Chengalpattu Bazaar,603002,Tamil Nadu,Kanchipuram
Chengalpattu Bus stand,603002,Tamil Nadu,Kanchipuram
Chengalpattu Cutcherry,603001,Tamil Nadu,Kanchipuram
Chengalpattu Medcollege,603001,Tamil Nadu,Kanchipuram
Chengalpattu Public offices,603002,Tamil Nadu,Kanchipuram
Chengattur,603302,Tamil Nadu,Kanchipuram
Chennai Airport,600027,Tamil Nadu,Kanchipuram
Chennai National terminal,600027,Tamil Nadu,Kanchipuram
Chettipunniyam,603204,Tamil Nadu,Kanchipuram
Cheyur,603302,Tamil Nadu,Kanchipuram
Cheyyur North,603302,Tamil Nadu,Kanchipuram
Chithamur,603313,Tamil Nadu,Kanchipuram
Chithanakkavur,603107,Tamil Nadu,Kanchipuram
Chitlapakkam,600064,Tamil Nadu,Kanchipuram
Christian College tambaram,600059,Tamil Nadu,Kanchipuram
Chromepet,600044,Tamil Nadu,Kanchipuram
Chunampet,603401,Tamil Nadu,Kanchipuram
Damal,631551,Tamil Nadu,Kanchipuram
Darkash,600044,Tamil Nadu,Kanchipuram
Desumugipettai,603109,Tamil Nadu,Kanchipuram
Echoor,631604,Tamil Nadu,Kanchipuram
Edaiyur,603109,Tamil Nadu,Kanchipuram
Edayampudur,603107,Tamil Nadu,Kanchipuram
Edayarpakkam,631553,Tamil Nadu,Kanchipuram
Ekanampet,631601,Tamil Nadu,Kanchipuram
Ekanapuram,631553,Tamil Nadu,Kanchipuram
Elaganar,603402,Tamil Nadu,Kanchipuram
Elapakkam,603201,Tamil Nadu,Kanchipuram
Elutchur,603204,Tamil Nadu,Kanchipuram
Enathur,631561,Tamil Nadu,Kanchipuram
Ganapathipuram Tbm,600059,Tamil Nadu,Kanchipuram
Ganapathipuramcmt,600044,Tamil Nadu,Kanchipuram
Gerugambakkam,602101,Tamil Nadu,Kanchipuram
Govindavadi,631502,Tamil Nadu,Kanchipuram
Gowriwakkam,601302,Tamil Nadu,Kanchipuram
Guduvanchery,603202,Tamil Nadu,Kanchipuram
Gunduperumbedu,602105,Tamil Nadu,Kanchipuram
Gundurchengalpattu,603002,Tamil Nadu,Kanchipuram
Hanumanthandalam,603402,Tamil Nadu,Kanchipuram
Hanumanthapuram,603108,Tamil Nadu,Kanchipuram
Hasthinapuram,600064,Tamil Nadu,Kanchipuram
Illalur,603110,Tamil Nadu,Kanchipuram
Indalur,603301,Tamil Nadu,Kanchipuram
Injambakkam,600041,Tamil Nadu,Kanchipuram
Iranya Sidhi,603312,Tamil Nadu,Kanchipuram
Irumbedu,603302,Tamil Nadu,Kanchipuram
Irumbuli,603301,Tamil Nadu,Kanchipuram
Irumbulichery,603109,Tamil Nadu,Kanchipuram
Irumbuliyur,600059,Tamil Nadu,Kanchipuram
Isur,603310,Tamil Nadu,Kanchipuram
Iyyappanthangal,600056,Tamil Nadu,Kanchipuram
Janakipuram,603303,Tamil Nadu,Kanchipuram
Kadalur,603305,Tamil Nadu,Kanchipuram
Kadambadil,603104,Tamil Nadu,Kanchipuram
Kadaperi,600047,Tamil Nadu,Kanchipuram
Kadukkalur,603401,Tamil Nadu,Kanchipuram
Kaliyampoondi,603402,Tamil Nadu,Kanchipuram
Kalkulam,603312,Tamil Nadu,Kanchipuram
Kallapiranpuram,603308,Tamil Nadu,Kanchipuram
Kalpakkam,603102,Tamil Nadu,Kanchipuram
Kalvoy,603108,Tamil Nadu,Kanchipuram
Kammalampoondi,603406,Tamil Nadu,Kanchipuram
Kammavarpalayam,631502,Tamil Nadu,Kanchipuram
Kanchipuram,631501,Tamil Nadu,Kanchipuram
Kanchipuram Collectorate,631501,Tamil Nadu,Kanchipuram
Kanchipuram Cutchery,631501,Tamil Nadu,Kanchipuram
Kanchipuram Rs,631502,Tamil Nadu,Kanchipuram
Kandoor,602108,Tamil Nadu,Kanchipuram
Kannivakkam,603202,Tamil Nadu,Kanchipuram
Kannur,602108,Tamil Nadu,Kanchipuram
Kappankottur,631553,Tamil Nadu,Kanchipuram
Karai,631552,Tamil Nadu,Kanchipuram
Karaipettai,631552,Tamil Nadu,Kanchipuram
Karanaipuduchery,603202,Tamil Nadu,Kanchipuram
Karasangal,603310,Tamil Nadu,Kanchipuram
Karumbakkam,603108,Tamil Nadu,Kanchipuram
Karunguli,603303,Tamil Nadu,Kanchipuram
Karunillam,603204,Tamil Nadu,Kanchipuram
Kasthuribainagar,600059,Tamil Nadu,Kanchipuram
Kathrichery,603303,Tamil Nadu,Kanchipuram
Kattankolathur,603203,Tamil Nadu,Kanchipuram
Kattiampandal,603314,Tamil Nadu,Kanchipuram
Kattu Karanaai,603201,Tamil Nadu,Kanchipuram
Kattudevadur,603313,Tamil Nadu,Kanchipuram
Kattugudalur,603301,Tamil Nadu,Kanchipuram
Kavanthandalam,631603,Tamil Nadu,Kanchipuram
Kavanur,603203,Tamil Nadu,Kanchipuram
Kayapakkam,603301,Tamil Nadu,Kanchipuram
Kayar,603110,Tamil Nadu,Kanchipuram
Kayarambedu,603202,Tamil Nadu,Kanchipuram
Keelavalam,603303,Tamil Nadu,Kanchipuram
Kelambakkam,603103,Tamil Nadu,Kanchipuram
Kilacheri,631402,Tamil Nadu,Kanchipuram
Kilakadi,603107,Tamil Nadu,Kanchipuram
Kilakattalai,600117,Tamil Nadu,Kanchipuram
Kilakattur,631502,Tamil Nadu,Kanchipuram
Kiliyanagar,603406,Tamil Nadu,Kanchipuram
Kinar,603303,Tamil Nadu,Kanchipuram
Koduvoor,603305,Tamil Nadu,Kanchipuram
Kokilamedu,603104,Tamil Nadu,Kanchipuram
Kolapakkam,600048,Tamil Nadu,Kanchipuram
Kolathur,600048,Tamil Nadu,Kanchipuram
Kondancheri,631402,Tamil Nadu,Kanchipuram
Koothavakkam,603104,Tamil Nadu,Kanchipuram
Kottaikadu,603304,Tamil Nadu,Kanchipuram
Kottamedu,603108,Tamil Nadu,Kanchipuram
Kovalam,603112,Tamil Nadu,Kanchipuram
Kovilambakkam,600117,Tamil Nadu,Kanchipuram
Kovur,602101,Tamil Nadu,Kanchipuram
Krishnapuram,631551,Tamil Nadu,Kanchipuram
Kudapakkam,603304,Tamil Nadu,Kanchipuram
Kudapakkam East,603304,Tamil Nadu,Kanchipuram
Kunnam,631604,Tamil Nadu,Kanchipuram
Kunnathur,600069,Tamil Nadu,Kanchipuram
Kunnavakkam,603107,Tamil Nadu,Kanchipuram
Kuram,631502,Tamil Nadu,Kanchipuram
Kuvam,631402,Tamil Nadu,Kanchipuram
Kuvathur,603305,Tamil Nadu,Kanchipuram
Kuzhipanthandalam,603105,Tamil Nadu,Kanchipuram
LEndathur,603406,Tamil Nadu,Kanchipuram
Lakshmipuram,600044,Tamil Nadu,Kanchipuram
Lathur,603312,Tamil Nadu,Kanchipuram
Lic Colony tambaram,600059,Tamil Nadu,Kanchipuram
Little Kanchipuram,631501,Tamil Nadu,Kanchipuram
Madambakkam,600073,Tamil Nadu,Kanchipuram
Madayathur,603108,Tamil Nadu,Kanchipuram
Madhur,631606,Tamil Nadu,Kanchipuram
Madipakkam,600091,Tamil Nadu,Kanchipuram
Madipakkam South,600091,Tamil Nadu,Kanchipuram
Maduramangalam,602108,Tamil Nadu,Kanchipuram
Madurantakam,603306,Tamil Nadu,Kanchipuram
Madurantakam East,603306,Tamil Nadu,Kanchipuram
Magaral,631603,Tamil Nadu,Kanchipuram
Malaipattu,601301,Tamil Nadu,Kanchipuram
Malaivaiyavur,603308,Tamil Nadu,Kanchipuram
Malapalayam,603303,Tamil Nadu,Kanchipuram
Malayalipettai,603303,Tamil Nadu,Kanchipuram
Malayankulam,631603,Tamil Nadu,Kanchipuram
Malliyankaranai,603406,Tamil Nadu,Kanchipuram
Mamallapuram,603104,Tamil Nadu,Kanchipuram
Mamandur,603111,Tamil Nadu,Kanchipuram
Mambakkam,602106,Tamil Nadu,Kanchipuram
Manamai,603102,Tamil Nadu,Kanchipuram
Manambathi,603105,Tamil Nadu,Kanchipuram
Manampathi,603403,Tamil Nadu,Kanchipuram
Manampathikandigai,603403,Tamil Nadu,Kanchipuram
Manapakkam,600116,Tamil Nadu,Kanchipuram
Mangadu,602101,Tamil Nadu,Kanchipuram
Manimangalam,601301,Tamil Nadu,Kanchipuram
Mannivakkam,600048,Tamil Nadu,Kanchipuram
Mappedu,600073,Tamil Nadu,Kanchipuram
Maraimalai Nagar,603209,Tamil Nadu,Kanchipuram
Maruthuvambadi,603406,Tamil Nadu,Kanchipuram
Mathur,602105,Tamil Nadu,Kanchipuram
Medavakkam,601302,Tamil Nadu,Kanchipuram
Melaiyur,603108,Tamil Nadu,Kanchipuram
Melakottaiyur,600048,Tamil Nadu,Kanchipuram
Melamayoor,603001,Tamil Nadu,Kanchipuram
Melavalam,603303,Tamil Nadu,Kanchipuram
Meleripakkam,603002,Tamil Nadu,Kanchipuram
Melkadirpur,631502,Tamil Nadu,Kanchipuram
Melmaduramangalam,631553,Tamil Nadu,Kanchipuram
Melmaruvathur,603319,Tamil Nadu,Kanchipuram
Melprumal Chery,603102,Tamil Nadu,Kanchipuram
Melrosapuram,603204,Tamil Nadu,Kanchipuram
Meyyur,603111,Tamil Nadu,Kanchipuram
Minambakkam,600027,Tamil Nadu,Kanchipuram
Minnal Sithamur,603307,Tamil Nadu,Kanchipuram
Morapakkam,603306,Tamil Nadu,Kanchipuram
Mugaiyur,603305,Tamil Nadu,Kanchipuram
Mugalivakkam,600116,Tamil Nadu,Kanchipuram
Mugundagiri,603309,Tamil Nadu,Kanchipuram
Mullikolathur,603109,Tamil Nadu,Kanchipuram
Mullipakkam,603105,Tamil Nadu,Kanchipuram
Murugampakkam,603306,Tamil Nadu,Kanchipuram
Musaravakkam,631551,Tamil Nadu,Kanchipuram
Muthavedu,631551,Tamil Nadu,Kanchipuram
Muthialpet,631601,Tamil Nadu,Kanchipuram
Muttukadu,603112,Tamil Nadu,Kanchipuram
Nagalkeni,600044,Tamil Nadu,Kanchipuram
Naickenpet,631601,Tamil Nadu,Kanchipuram
